DATE,sprtrn
2014-01-31,-0.035583
2014-02-28,0.043117
2014-03-31,0.006932
2014-04-30,0.006201
2014-05-30,0.021030
2014-06-30,0.019058
2014-07-31,-0.015080
2014-08-29,0.037655
2014-09-30,-0.015514
2014-10-31,0.023201
2014-11-28,0.024534
2014-12-31,-0.004189
2015-01-30,-0.031041
2015-02-27,0.054893
2015-03-31,-0.017396
2015-04-30,0.008521
2015-05-29,0.010491
2015-06-30,-0.021012
2015-07-31,0.019742
2015-08-31,-0.062581
2015-09-30,-0.026443
2015-10-30,0.082983
2015-11-30,0.000505
2015-12-31,-0.017530
2016-01-29,-0.050735
2016-02-29,-0.004128
2016-03-31,0.065991
2016-04-29,0.002699
2016-05-31,0.015329
2016-06-30,0.000906
2016-07-29,0.035610
2016-08-31,-0.001219
2016-09-30,-0.001234
2016-10-31,-0.019426
2016-11-30,0.034174
2016-12-30,0.018201
2017-01-31,0.017884
2017-02-28,0.037198
2017-03-31,-0.000389
2017-04-28,0.009091
2017-05-31,0.011576
2017-06-30,0.004814
2017-07-31,0.019349
2017-08-31,0.000546
2017-09-29,0.019303
2017-10-31,0.022188
2017-11-30,0.028083
2017-12-29,0.009832
2018-01-31,0.056179
2018-02-28,-0.038947
2018-03-29,-0.026885
2018-04-30,0.002719
2018-05-31,0.021608
2018-06-29,0.004842
2018-07-31,0.036022
2018-08-31,0.030263
2018-09-28,0.004294
2018-10-31,-0.069403
2018-11-30,0.017859
2018-12-31,-0.091777
2019-01-31,0.078684
2019-02-28,0.029729
2019-03-29,0.017924
2019-04-30,0.039313
2019-05-31,-0.065778
2019-06-28,0.068930
2019-07-31,0.013128
2019-08-30,-0.018092
2019-09-30,0.017181
2019-10-31,0.020432
2019-11-29,0.034047
2019-12-31,0.028590
2020-01-31,-0.001628
2020-02-28,-0.084110
2020-03-31,-0.125119
2020-04-30,0.126844
2020-05-29,0.045282
2020-06-30,0.018388
2020-07-31,0.055101
2020-08-31,0.070065
2020-09-30,-0.039228
2020-10-30,-0.027666
2020-11-30,0.107546
2020-12-31,0.037121
2021-01-29,-0.011137
2021-02-26,0.026091
2021-03-31,0.042439
2021-04-30,0.052425
2021-05-28,0.005487
2021-06-30,0.022214
2021-07-30,0.022748
2021-08-31,0.028990
2021-09-30,-0.047569
2021-10-29,0.069144
2021-11-30,-0.008334
2021-12-31,0.043613
2022-01-31,-0.052585
2022-02-28,-0.031361
2022-03-31,0.035773
2022-04-29,-0.087957
2022-05-31,0.000053
2022-06-30,-0.083920
2022-07-29,0.091116
2022-08-31,-0.042440
2022-09-30,-0.093396
2022-10-31,0.079863
2022-11-30,0.053753
2022-12-30,-0.058971
2023-01-31,0.061753
2023-02-28,-0.026112
2023-03-31,0.035052
2023-04-28,0.014642
2023-05-31,0.002482
2023-06-30,0.064728
2023-07-31,0.031139
2023-08-31,-0.017716
2023-09-29,-0.048719
2023-10-31,-0.021980
2023-11-30,0.089179
2023-12-29,0.044229
2024-01-31,0.015896
2024-02-29,0.051721
2024-03-28,0.031019
2024-04-30,-0.041615
2024-05-31,0.048021
2024-06-28,0.034670
2024-07-31,0.011321
2024-08-30,0.022835
2024-09-30,0.020197
2024-10-31,-0.009897
2024-11-29,0.057301
2024-12-31,-0.024990
