caldt,t30ret
1925-12-31,
1926-03-31,0.008521
1926-06-30,0.006886
1926-09-30,0.007069
1926-12-31,0.009093
1927-03-31,0.008013
1927-06-30,0.008159
1927-09-30,0.007864
1927-12-31,0.006852
1928-03-31,0.008479
1928-06-30,0.008289
1928-09-29,0.009193
1928-12-31,0.011749
1929-03-28,0.010306
1929-06-29,0.013205
1929-09-30,0.010988
1929-12-31,0.012052
1930-03-31,0.007851
1930-06-30,0.007396
1930-09-30,0.004763
1930-12-31,0.003266
1931-03-31,0.002851
1931-06-30,0.002208
1931-09-30,0.001397
1931-12-31,0.003737
1932-03-31,0.004969
1932-06-30,0.001811
1932-09-30,0.000826
1932-12-31,0.000432
1933-03-31,0.000263
1933-06-30,0.001604
1933-09-30,0.000571
1933-12-30,0.000493
1934-03-31,0.000880
1934-06-30,0.000189
1934-09-29,0.000190
1934-12-31,0.000287
1935-03-30,0.000377
1935-06-29,0.000421
1935-09-30,0.000404
1935-12-31,0.000450
1936-03-31,0.000422
1936-06-30,0.000634
1936-09-30,0.000383
1936-12-31,0.000308
1937-03-31,0.000425
1937-06-30,0.001396
1937-09-30,0.000955
1937-12-31,0.000407
1938-03-31,0.000107
1938-06-30,0.000076
1938-09-30,0.000164
1938-12-31,0.000061
1939-03-31,-0.000137
1939-06-30,0.000094
1939-09-30,0.000054
1939-12-30,0.000064
1940-03-30,-0.000044
1940-06-29,-0.000259
1940-09-30,-0.000008
1940-12-31,-0.000270
1941-03-31,-0.000030
1941-06-30,0.000018
1941-09-30,0.000189
1941-12-31,0.000245
1942-03-31,0.000397
1942-06-30,0.000478
1942-09-30,0.000840
1942-12-31,0.000897
1943-03-31,0.000834
1943-06-30,0.000852
1943-09-30,0.000856
1943-12-31,0.000848
1944-03-31,0.000820
1944-06-30,0.000826
1944-09-30,0.000776
1944-12-30,0.000789
1945-03-31,0.000736
1945-06-30,0.000774
1945-09-29,0.000828
1945-12-31,0.000868
1946-03-30,0.000851
1946-06-28,0.000872
1946-09-30,0.000904
1946-12-31,0.000888
1947-03-31,0.000826
1947-06-30,0.000877
1947-09-30,0.000862
1947-12-31,0.002038
1948-03-31,0.002340
1948-06-30,0.002506
1948-09-30,0.002597
1948-12-31,0.002312
1949-03-31,0.002790
1949-06-30,0.002903
1949-09-30,0.002667
1949-12-30,0.002655
1950-03-31,0.002822
1950-06-30,0.002898
1950-09-29,0.002980
1950-12-29,0.003380
1951-03-30,0.003384
1951-06-29,0.003614
1951-09-28,0.003864
1951-12-31,0.003890
1952-03-31,0.003676
1952-06-30,0.004025
1952-09-30,0.004559
1952-12-31,0.004059
1953-03-31,0.004922
1953-06-30,0.005165
1953-09-30,0.004559
1953-12-31,0.003038
1954-03-31,0.002595
1954-06-30,0.001966
1954-09-30,0.001969
1954-12-31,0.002068
1955-03-31,0.002576
1955-06-30,0.003301
1955-09-30,0.004226
1955-12-30,0.005361
1956-03-29,0.005670
1956-06-29,0.006065
1956-09-28,0.005189
1956-12-31,0.007075
1957-03-29,0.007304
1957-06-27,0.007701
1957-09-30,0.008060
1957-12-31,0.007863
1958-03-31,0.004370
1958-06-30,0.002231
1958-09-30,0.002806
1958-12-31,0.004671
1959-03-31,0.006098
1959-06-30,0.006664
1959-09-30,0.006984
1959-12-31,0.008116
1960-03-31,0.009451
1960-06-30,0.006577
1960-09-30,0.004547
1960-12-30,0.005010
1961-03-30,0.005611
1961-06-30,0.005538
1961-09-29,0.004867
1961-12-29,0.005402
1962-03-30,0.006357
1962-06-29,0.006525
1962-09-28,0.006995
1962-12-31,0.007090
1963-03-29,0.007050
1963-06-28,0.007391
1963-09-30,0.008044
1963-12-31,0.008663
1964-03-31,0.008826
1964-06-30,0.008635
1964-09-30,0.008289
1964-12-31,0.008979
1965-03-31,0.009630
1965-06-30,0.009813
1965-09-30,0.009672
1965-12-31,0.009930
1966-03-31,0.010946
1966-06-30,0.011396
1966-09-30,0.011903
1966-12-30,0.011999
1967-03-31,0.011406
1967-06-30,0.009172
1967-09-29,0.009601
1967-12-29,0.010668
1968-03-29,0.011806
1968-06-28,0.013431
1968-09-30,0.013530
1968-12-31,0.013157
1969-03-28,0.014516
1969-06-30,0.015288
1969-09-30,0.017366
1969-12-31,0.017176
1970-03-31,0.017592
1970-06-30,0.016468
1970-09-30,0.015015
1970-12-31,0.013287
1971-03-31,0.010079
1971-06-30,0.009466
1971-09-30,0.012399
1971-12-31,0.010550
1972-03-30,0.008121
1972-06-30,0.008729
1972-09-29,0.009649
1972-12-29,0.011862
1973-03-30,0.013497
1973-06-29,0.015559
1973-09-28,0.020280
1973-12-31,0.019470
1974-03-29,0.017875
1974-06-28,0.022239
1974-09-30,0.020835
1974-12-31,0.017502
1975-03-31,0.013789
1975-06-30,0.013552
1975-09-30,0.015278
1975-12-31,0.014363
1976-03-31,0.012247
1976-06-30,0.013067
1976-09-30,0.013116
1976-12-31,0.012160
1977-03-31,0.010901
1977-06-30,0.011731
1977-09-30,0.013254
1977-12-30,0.014673
1978-03-31,0.015410
1978-06-30,0.016488
1978-09-29,0.017203
1978-12-29,0.022071
1979-03-30,0.024328
1979-06-29,0.024709
1979-09-28,0.023835
1979-12-31,0.030003
1980-03-31,0.030941
1980-06-30,0.027293
1980-09-30,0.020082
1980-12-31,0.032288
1981-03-31,0.034178
1981-06-30,0.037001
1981-09-30,0.037984
1981-12-31,0.031782
1982-03-31,0.027809
1982-06-30,0.031925
1982-09-30,0.023851
1982-12-31,0.019084
1983-03-31,0.019501
1983-06-30,0.021312
1983-09-30,0.023040
1983-12-30,0.021828
1984-03-30,0.022863
1984-06-29,0.023747
1984-09-28,0.025220
1984-12-31,0.024214
1985-03-29,0.018783
1985-06-28,0.019295
1985-09-30,0.018146
1985-12-31,0.018428
1986-03-31,0.016211
1986-06-30,0.015601
1986-09-30,0.014477
1986-12-31,0.012955
1987-03-31,0.013532
1987-06-30,0.013133
1987-09-30,0.013684
1987-12-31,0.012443
1988-03-31,0.011773
1988-06-30,0.014530
1988-09-30,0.017260
1988-12-30,0.018232
1989-03-31,0.018198
1989-06-30,0.022124
1989-09-29,0.020246
1989-12-29,0.019223
1990-03-30,0.018159
1990-06-29,0.019253
1990-09-28,0.018961
1990-12-31,0.018309
1991-03-28,0.013859
1991-06-28,0.014032
1991-09-30,0.014074
1991-12-31,0.012001
1992-03-31,0.009292
1992-06-30,0.009291
1992-09-30,0.008092
1992-12-31,0.006918
1993-03-31,0.007099
1993-06-30,0.007314
1993-09-30,0.007306
1993-12-31,0.006966
1994-03-31,0.007109
1994-06-30,0.009006
1994-09-30,0.010131
1994-12-30,0.012009
1995-03-31,0.012323
1995-06-30,0.014589
1995-09-29,0.013529
1995-12-29,0.013767
1996-03-29,0.012178
1996-06-28,0.012614
1996-09-30,0.013050
1996-12-31,0.012644
1997-03-31,0.012161
1997-06-30,0.012371
1997-09-30,0.012984
1997-12-31,0.012363
1998-03-31,0.012588
1998-06-30,0.012183
1998-09-30,0.011806
1998-12-31,0.010401
1999-03-31,0.010982
1999-06-30,0.011388
1999-09-30,0.011281
1999-12-31,0.011198
2000-03-31,0.013072
2000-06-30,0.013178
2000-09-29,0.014941
2000-12-29,0.015168
2001-03-30,0.013274
2001-06-29,0.009857
2001-09-28,0.008750
2001-12-31,0.005397
2002-03-28,0.004021
2002-06-28,0.004306
2002-09-30,0.004329
2002-12-31,0.003583
2003-03-31,0.002828
2003-06-30,0.002829
2003-09-30,0.002230
2003-12-31,0.002258
2004-03-31,0.002165
2004-06-30,0.002217
2004-09-30,0.003223
2004-12-31,0.004348
2005-03-31,0.005435
2005-06-30,0.006745
2005-09-30,0.008173
2005-12-30,0.008960
2006-03-31,0.010488
2006-06-30,0.011770
2006-09-29,0.012357
2006-12-29,0.012406
2007-03-30,0.012473
2007-06-29,0.012363
2007-09-28,0.011558
2007-12-31,0.009558
2008-03-31,0.005634
2008-06-30,0.003725
2008-09-30,0.004258
2008-12-31,0.001049
2009-03-31,0.000329
2009-06-30,0.000217
2009-09-30,0.000314
2009-12-31,0.000106
2010-03-31,0.000106
2010-06-30,0.000350
2010-09-30,0.000393
2010-12-31,0.000366
2011-03-31,0.000255
2011-06-30,0.000101
2011-09-30,0.000054
2011-12-30,0.000018
2012-03-30,0.000075
2012-06-29,0.000116
2012-09-28,0.000149
2012-12-31,0.000225
