PERMNO,date,TICKER,RET
15732,2015-09-30,,
15732,2015-10-30,XLRE,C
15732,2015-11-30,XLRE,-0.006462
15732,2015-12-31,XLRE,0.025172
15732,2016-01-29,XLRE,-0.063943
15732,2016-02-29,XLRE,0.004796
15732,2016-03-31,XLRE,0.106820
15732,2016-04-29,XLRE,-0.024254
15732,2016-05-31,XLRE,0.017208
15732,2016-06-30,XLRE,0.060650
15732,2016-07-29,XLRE,0.032391
15732,2016-08-31,XLRE,-0.037430
15732,2016-09-30,XLRE,-0.012956
15732,2016-10-31,XLRE,-0.055539
15732,2016-11-30,XLRE,-0.030372
15732,2016-12-30,XLRE,0.043030
15732,2017-01-31,XLRE,-0.001301
15732,2017-02-28,XLRE,0.046565
15732,2017-03-31,XLRE,-0.010650
15732,2017-04-28,XLRE,0.001582
15732,2017-05-31,XLRE,0.006635
15732,2017-06-30,XLRE,0.019203
15732,2017-07-31,XLRE,0.012112
15732,2017-08-31,XLRE,0.010126
15732,2017-09-29,XLRE,-0.013500
15732,2017-10-31,XLRE,0.008064
15732,2017-11-30,XLRE,0.029231
15732,2017-12-29,XLRE,-0.004335
15732,2018-01-31,XLRE,-0.019126
15732,2018-02-28,XLRE,-0.068090
15732,2018-03-29,XLRE,0.038302
15732,2018-04-30,XLRE,-0.006113
15732,2018-05-31,XLRE,0.022337
15732,2018-06-29,XLRE,0.044288
15732,2018-07-31,XLRE,0.010394
15732,2018-08-31,XLRE,0.024206
15732,2018-09-28,XLRE,-0.026288
15732,2018-10-31,XLRE,-0.015946
15732,2018-11-30,XLRE,0.054846
15732,2018-12-31,XLRE,-0.073305
15732,2019-01-31,XLRE,0.107419
15732,2019-02-28,XLRE,0.011069
15732,2019-03-29,XLRE,0.049367
15732,2019-04-30,XLRE,-0.005246
15732,2019-05-31,XLRE,0.012212
15732,2019-06-28,XLRE,0.016528
15732,2019-07-31,XLRE,0.017405
15732,2019-08-30,XLRE,0.048115
15732,2019-09-30,XLRE,0.010029
15732,2019-10-31,XLRE,-0.000254
15732,2019-11-29,XLRE,-0.017290
15732,2019-12-31,XLRE,0.011209
15732,2020-01-31,XLRE,0.014482
15732,2020-02-28,XLRE,-0.062197
15732,2020-03-31,XLRE,-0.151893
15732,2020-04-30,XLRE,0.094193
15732,2020-05-29,XLRE,0.021521
15732,2020-06-30,XLRE,0.012423
15732,2020-07-31,XLRE,0.041655
15732,2020-08-31,XLRE,-0.000276
15732,2020-09-30,XLRE,-0.021159
15732,2020-10-30,XLRE,-0.031755
15732,2020-11-30,XLRE,0.068814
15732,2020-12-31,XLRE,0.014418
15732,2021-01-29,XLRE,0.005470
15732,2021-02-26,XLRE,0.015778
15732,2021-03-31,XLRE,0.067818
15732,2021-04-30,XLRE,0.083059
15732,2021-05-28,XLRE,0.011457
15732,2021-06-30,XLRE,0.031331
15732,2021-07-30,XLRE,0.046244
15732,2021-08-31,XLRE,0.028029
15732,2021-09-30,XLRE,-0.062272
15732,2021-10-29,XLRE,0.075815
15732,2021-11-30,XLRE,-0.008992
15732,2021-12-31,XLRE,0.102246
15732,2022-01-31,XLRE,-0.086277
15732,2022-02-28,XLRE,-0.047951
15732,2022-03-31,XLRE,0.078068
15732,2022-04-29,XLRE,-0.035596
15732,2022-05-31,XLRE,-0.051073
15732,2022-06-30,XLRE,-0.068918
15732,2022-07-29,XLRE,0.085169
15732,2022-08-31,XLRE,-0.056157
15732,2022-09-30,XLRE,-0.130854
15732,2022-10-31,XLRE,0.019994
15732,2022-11-30,XLRE,0.068337
15732,2022-12-30,XLRE,-0.048148
15732,2023-01-31,XLRE,0.099106
15732,2023-02-28,XLRE,-0.058635
15732,2023-03-31,XLRE,-0.015025
15732,2023-04-28,XLRE,0.009898
15732,2023-05-31,XLRE,-0.045298
15732,2023-06-30,XLRE,0.055739
15732,2023-07-31,XLRE,0.013266
15732,2023-08-31,XLRE,-0.030636
15732,2023-09-29,XLRE,-0.071825
15732,2023-10-31,XLRE,-0.028471
15732,2023-11-30,XLRE,0.124773
15732,2023-12-29,XLRE,0.087316
15732,2024-01-31,XLRE,-0.048178
15732,2024-02-29,XLRE,0.025702
15732,2024-03-28,XLRE,0.017479
15732,2024-04-30,XLRE,-0.084493
15732,2024-05-31,XLRE,0.051395
15732,2024-06-28,XLRE,0.019635
15732,2024-07-31,XLRE,0.072377
15732,2024-08-30,XLRE,0.057295
15732,2024-09-30,XLRE,0.032870
15732,2024-10-31,XLRE,-0.032908
15732,2024-11-29,XLRE,0.041667
15732,2024-12-31,XLRE,-0.086586
17940,2018-05-31,,
17940,2018-06-29,XLC,C
17940,2018-07-31,XLC,-0.021603
